deviation_id,trial_id,site_id,deviation_type,severity
D0001,T008,S037,Eligibility Violation,Major
D0002,T010,S047,Dosage Error,Minor
D0003,T008,S036,Data Entry Delay,Minor
D0004,T007,S035,Eligibility Violation,Major
D0005,T003,S011,Eligibility Violation,Minor
D0006,T008,S040,Dosage Error,Critical
D0007,T008,S037,Dosage Error,Critical
D0008,T001,S001,Dosage Error,Major
D0009,T004,S019,Missing Visit,Minor
D0010,T009,S044,Missing Visit,Major
D0011,T003,S013,Eligibility Violation,Minor
D0012,T007,S035,Missing Visit,Critical
D0013,T005,S025,Missing Visit,Major
D0014,T002,S006,Data Entry Delay,Critical
D0015,T009,S041,Dosage Error,Critical
D0016,T001,S005,Dosage Error,Major
D0017,T001,S002,Data Entry Delay,Critical
D0018,T003,S014,Missing Visit,Minor
D0019,T008,S037,Missing Visit,Minor
D0020,T001,S001,Data Entry Delay,Critical
D0021,T006,S028,Missing Visit,Minor
D0022,T007,S032,Eligibility Violation,Major
D0023,T005,S025,Data Entry Delay,Minor
D0024,T009,S041,Eligibility Violation,Critical
D0025,T006,S026,Data Entry Delay,Critical
D0026,T010,S048,Data Entry Delay,Minor
D0027,T006,S027,Missing Visit,Critical
D0028,T002,S008,Data Entry Delay,Critical
D0029,T006,S026,Dosage Error,Major
D0030,T010,S049,Missing Visit,Critical
D0031,T010,S047,Missing Visit,Critical
D0032,T003,S013,Data Entry Delay,Minor
D0033,T005,S025,Data Entry Delay,Critical
D0034,T008,S037,Missing Visit,Critical
D0035,T009,S045,Dosage Error,Major
D0036,T004,S020,Dosage Error,Major
D0037,T010,S049,Data Entry Delay,Major
D0038,T004,S017,Missing Visit,Critical
D0039,T010,S049,Data Entry Delay,Minor
D0040,T003,S014,Data Entry Delay,Major
D0041,T006,S030,Missing Visit,Critical
D0042,T008,S039,Missing Visit,Major
D0043,T002,S007,Missing Visit,Major
D0044,T009,S043,Eligibility Violation,Critical
D0045,T006,S028,Missing Visit,Major
D0046,T008,S037,Missing Visit,Minor
D0047,T003,S013,Data Entry Delay,Major
D0048,T005,S022,Data Entry Delay,Critical
D0049,T002,S007,Missing Visit,Critical
D0050,T001,S001,Missing Visit,Critical
D0051,T008,S037,Dosage Error,Major
D0052,T007,S032,Dosage Error,Minor
D0053,T008,S040,Data Entry Delay,Critical
D0054,T009,S043,Eligibility Violation,Critical
D0055,T005,S023,Data Entry Delay,Critical
D0056,T010,S047,Missing Visit,Major
D0057,T001,S005,Missing Visit,Major
D0058,T007,S034,Data Entry Delay,Critical
D0059,T008,S039,Dosage Error,Major
D0060,T004,S016,Data Entry Delay,Critical
D0061,T007,S031,Dosage Error,Major
D0062,T008,S039,Data Entry Delay,Critical
D0063,T003,S012,Data Entry Delay,Major
D0064,T004,S017,Dosage Error,Minor
D0065,T008,S037,Missing Visit,Major
D0066,T007,S032,Missing Visit,Critical
D0067,T010,S048,Data Entry Delay,Minor
D0068,T004,S019,Dosage Error,Minor
D0069,T002,S010,Eligibility Violation,Minor
D0070,T006,S029,Eligibility Violation,Minor
D0071,T007,S033,Missing Visit,Minor
D0072,T010,S047,Eligibility Violation,Minor
D0073,T010,S047,Eligibility Violation,Critical
D0074,T009,S042,Data Entry Delay,Major
D0075,T010,S049,Data Entry Delay,Minor
D0076,T002,S010,Missing Visit,Major
D0077,T007,S035,Dosage Error,Minor
D0078,T009,S045,Eligibility Violation,Minor
D0079,T006,S026,Missing Visit,Minor
D0080,T004,S018,Missing Visit,Minor
D0081,T005,S025,Missing Visit,Major
D0082,T002,S008,Dosage Error,Minor
D0083,T006,S027,Dosage Error,Critical
D0084,T008,S040,Eligibility Violation,Critical
D0085,T004,S016,Missing Visit,Minor
D0086,T008,S037,Eligibility Violation,Major
D0087,T002,S008,Dosage Error,Major
D0088,T010,S049,Eligibility Violation,Major
D0089,T004,S020,Eligibility Violation,Minor
D0090,T009,S041,Eligibility Violation,Major
D0091,T009,S044,Data Entry Delay,Minor
D0092,T009,S043,Missing Visit,Major
D0093,T003,S015,Data Entry Delay,Major
D0094,T007,S031,Eligibility Violation,Major
D0095,T003,S014,Data Entry Delay,Critical
D0096,T005,S022,Eligibility Violation,Minor
D0097,T003,S013,Eligibility Violation,Critical
D0098,T005,S022,Eligibility Violation,Major
D0099,T005,S024,Data Entry Delay,Critical
D0100,T005,S022,Missing Visit,Minor
D0101,T003,S015,Eligibility Violation,Major
D0102,T006,S026,Missing Visit,Minor
D0103,T005,S023,Dosage Error,Major
D0104,T001,S004,Dosage Error,Critical
D0105,T005,S025,Eligibility Violation,Critical
D0106,T007,S033,Dosage Error,Major
D0107,T001,S003,Data Entry Delay,Minor
D0108,T008,S037,Dosage Error,Minor
D0109,T009,S042,Data Entry Delay,Critical
D0110,T009,S045,Data Entry Delay,Critical
D0111,T008,S038,Dosage Error,Minor
D0112,T010,S050,Missing Visit,Minor
D0113,T009,S042,Missing Visit,Minor
D0114,T002,S006,Data Entry Delay,Minor
D0115,T010,S047,Data Entry Delay,Major
D0116,T002,S009,Missing Visit,Major
D0117,T008,S036,Dosage Error,Critical
D0118,T006,S030,Eligibility Violation,Minor
D0119,T004,S020,Data Entry Delay,Major
D0120,T009,S044,Dosage Error,Minor
D0121,T004,S016,Dosage Error,Major
D0122,T007,S034,Data Entry Delay,Major
D0123,T007,S031,Dosage Error,Minor
D0124,T009,S044,Missing Visit,Minor
D0125,T004,S016,Data Entry Delay,Minor
D0126,T001,S001,Dosage Error,Major
D0127,T004,S018,Dosage Error,Critical
D0128,T005,S025,Missing Visit,Major
D0129,T005,S022,Dosage Error,Minor
D0130,T001,S003,Dosage Error,Critical
D0131,T006,S027,Data Entry Delay,Major
D0132,T007,S031,Eligibility Violation,Minor
D0133,T007,S035,Dosage Error,Major
D0134,T010,S047,Data Entry Delay,Major
D0135,T009,S041,Dosage Error,Major
D0136,T001,S005,Eligibility Violation,Major
D0137,T004,S016,Dosage Error,Minor
D0138,T001,S001,Dosage Error,Minor
D0139,T008,S037,Dosage Error,Minor
D0140,T003,S014,Eligibility Violation,Critical
D0141,T005,S023,Dosage Error,Minor
D0142,T007,S032,Eligibility Violation,Critical
D0143,T009,S041,Eligibility Violation,Minor
D0144,T006,S030,Missing Visit,Minor
D0145,T002,S008,Missing Visit,Minor
D0146,T001,S002,Data Entry Delay,Minor
D0147,T004,S016,Eligibility Violation,Minor
D0148,T009,S043,Missing Visit,Critical
D0149,T009,S043,Data Entry Delay,Critical
D0150,T008,S039,Dosage Error,Minor
D0151,T010,S048,Data Entry Delay,Major
D0152,T003,S011,Eligibility Violation,Major
D0153,T005,S021,Dosage Error,Major
D0154,T001,S001,Missing Visit,Minor
D0155,T007,S032,Dosage Error,Major
D0156,T003,S014,Data Entry Delay,Major
D0157,T002,S008,Missing Visit,Minor
D0158,T008,S038,Dosage Error,Critical
D0159,T001,S001,Dosage Error,Critical
D0160,T009,S042,Eligibility Violation,Critical
D0161,T010,S049,Missing Visit,Critical
D0162,T002,S006,Missing Visit,Major
D0163,T009,S045,Eligibility Violation,Minor
D0164,T003,S015,Data Entry Delay,Major
D0165,T006,S028,Missing Visit,Critical
D0166,T001,S005,Eligibility Violation,Critical
D0167,T002,S006,Eligibility Violation,Major
D0168,T008,S040,Data Entry Delay,Major
D0169,T009,S043,Data Entry Delay,Major
D0170,T008,S038,Dosage Error,Critical
D0171,T003,S012,Missing Visit,Critical
D0172,T009,S041,Missing Visit,Major
D0173,T008,S040,Dosage Error,Major
D0174,T009,S041,Eligibility Violation,Minor
D0175,T006,S030,Data Entry Delay,Major
D0176,T006,S028,Eligibility Violation,Critical
D0177,T005,S025,Eligibility Violation,Critical
D0178,T010,S047,Eligibility Violation,Major
D0179,T002,S010,Eligibility Violation,Critical
D0180,T003,S011,Eligibility Violation,Major
D0181,T005,S022,Dosage Error,Minor
D0182,T008,S038,Eligibility Violation,Major
D0183,T004,S020,Eligibility Violation,Major
