site_id,trial_id,city,investigator,enrollment_target
S001,T001,Hyderabad,Dr_1,32
S002,T001,Chennai,Dr_2,73
S003,T001,Mumbai,Dr_3,108
S004,T001,Bangalore,Dr_4,42
S005,T001,Mumbai,Dr_5,89
S006,T002,Hyderabad,Dr_6,99
S007,T002,Chennai,Dr_7,119
S008,T002,Delhi,Dr_8,95
S009,T002,Delhi,Dr_9,93
S010,T002,Mumbai,Dr_10,58
S011,T003,Mumbai,Dr_11,66
S012,T003,Bangalore,Dr_12,70
S013,T003,Hyderabad,Dr_13,68
S014,T003,Mumbai,Dr_14,118
S015,T003,Delhi,Dr_15,62
S016,T004,Delhi,Dr_16,52
S017,T004,Hyderabad,Dr_17,95
S018,T004,Delhi,Dr_18,80
S019,T004,Chennai,Dr_19,40
S020,T004,Hyderabad,Dr_20,102
S021,T005,Bangalore,Dr_21,81
S022,T005,Delhi,Dr_22,106
S023,T005,Delhi,Dr_23,103
S024,T005,Bangalore,Dr_24,108
S025,T005,Chennai,Dr_25,83
S026,T006,Bangalore,Dr_26,46
S027,T006,Delhi,Dr_27,112
S028,T006,Delhi,Dr_28,87
S029,T006,Mumbai,Dr_29,56
S030,T006,Hyderabad,Dr_30,81
S031,T007,Mumbai,Dr_31,115
S032,T007,Hyderabad,Dr_32,54
S033,T007,Delhi,Dr_33,116
S034,T007,Hyderabad,Dr_34,105
S035,T007,Chennai,Dr_35,70
S036,T008,Hyderabad,Dr_36,100
S037,T008,Chennai,Dr_37,45
S038,T008,Delhi,Dr_38,54
S039,T008,Chennai,Dr_39,74
S040,T008,Mumbai,Dr_40,117
S041,T009,Hyderabad,Dr_41,68
S042,T009,Chennai,Dr_42,96
S043,T009,Chennai,Dr_43,55
S044,T009,Hyderabad,Dr_44,72
S045,T009,Delhi,Dr_45,52
S046,T010,Hyderabad,Dr_46,107
S047,T010,Hyderabad,Dr_47,38
S048,T010,Delhi,Dr_48,88
S049,T010,Bangalore,Dr_49,59
S050,T010,Delhi,Dr_50,120
