trial_id,dropout_rate,deviation_count,enrollment_count,deviation_score,enrollment_delay,risk_score,risk_category
T001,33.490566037735846,57,212,98.27586206896551,0.0,42.87898503578399,High Risk
T002,31.753554502369667,51,211,87.93103448275862,0.47169811320755173,39.22224157973771,Medium Risk
T003,39.80582524271845,46,206,79.3103448275862,2.830188679245282,40.56449014913682,Medium Risk
T004,30.76923076923077,45,182,77.58620689655173,14.15094339622641,39.82883739552575,Medium Risk
T005,31.88405797101449,54,207,93.10344827586206,2.3584905660377444,41.39220484097574,Medium Risk
T006,29.84293193717277,50,191,86.20689655172413,9.905660377358487,40.770939853593894,Medium Risk
T007,39.30348258706468,42,201,72.41379310344827,5.188679245283026,39.00213473944527,Medium Risk
T008,36.09756097560975,58,205,100.0,3.3018867924528337,45.429590427979754,High Risk
T009,28.87700534759358,52,187,89.65517241379311,11.79245283018868,41.98508971223197,Medium Risk
T010,29.292929292929294,45,198,77.58620689655173,6.603773584905653,36.97416586160894,Low Risk
